"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bits","Param: padding","Param: scenario","Param: seed","Param: size"
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-icache-load-misses","avgt",1,1,22308.603226,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-load-misses","avgt",1,1,26845.251613,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-loads","avgt",1,1,69554.858065,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-store-misses","avgt",1,1,81995.777419,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:LLC-stores","avgt",1,1,171673.161290,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branch-misses","avgt",1,1,20643.903226,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:branches","avgt",1,1,54642792.277419,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:cycles","avgt",1,1,41965555.048387,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-load-misses","avgt",1,1,3199.945161,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-loads","avgt",1,1,32406550.190323,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-store-misses","avgt",1,1,2557.429032,NaN,"#/op",17,7,ALMOST_CONTIGUOUS,0,1000000
